candidate_id,outer_span,vta_island_count,measured_cycle_ms,shared_compute_ms,direct_copy_ms,communication_aware_ms
islands_3_9__10_18,3_18,2,95.01861423529411,82.06278194117647,5.5617,86.60585682352942
islands_1_7__8_13,1_13,2,102.88762764705884,82.34065694117646,6.276705,88.61736194117645
islands_1_7__8_14,1_14,2,105.82351170588235,83.6603507647059,6.5012,90.1615507647059
islands_1_4__5_12__13_13,1_13,3,113.95074829411764,83.78184094117648,10.64344,94.42528094117648
islands_1_5__8_13,1_13,2,116.01766835294117,86.93073282352941,9.28724,96.21797282352941
islands_1_4__5_7__8_14,1_14,3,116.77034411764707,85.76031688235294,11.9179,97.67821688235294
islands_1_4__5_12__13_14,1_14,3,117.54124770588234,83.69840705882353,10.470005,94.16841205882353
islands_1_5__8_14,1_14,2,117.87514929411766,85.66934370588235,8.22261,93.89195370588236
islands_1_4__5_7__8_13,1_13,3,117.89293594117649,86.08123570588235,12.70205,98.78328570588235
islands_1_3__5_12__13_15,1_15,3,120.8795981764706,92.3009504117647,12.965,105.2659504117647
islands_1_3__5_11__13_15,1_15,3,124.93423576470589,95.38608247058824,12.87855,108.26463247058824
islands_1_3__5_11__13_17,1_17,3,125.3080535882353,96.00135882352942,13.891399999999999,109.89275882352942
islands_1_3__5_11__13_16,1_16,3,125.72204717647058,95.4590982352941,13.51985,108.97894823529411
islands_1_3__5_11__13_18,1_18,3,127.17044752941175,98.91956929411765,12.9238,111.84336929411765
islands_1_3__5_10__13_18,1_18,3,127.78542370588235,98.69298958823529,13.271600000000001,111.9645895882353
islands_1_3__5_11__13_19,1_19,3,129.0480127647059,99.72429364705883,13.062899999999999,112.78719364705883
islands_1_3__5_10__13_19,1_19,3,129.6241155882353,99.30346029411764,13.4702,112.77366029411765
islands_3_9__10_14,3_14,2,134.675732,126.82805235294117,5.5291950000000005,126.82805235294117
islands_3_9__10_13,3_13,2,135.2289145882353,126.01353894117648,6.255915,126.01353894117648
islands_3_8__10_19,3_19,2,97.63986047058823,89.92466752941176,6.511645,89.92466752941176
islands_1_6__8_14,1_14,2,105.3323785882353,80.82701123529412,8.073379999999998,88.90039123529412
islands_3_8__10_18,3_18,2,106.02045129411766,99.01874664705882,6.822920000000001,99.01874664705882
islands_1_6__8_13,1_13,2,109.12342647058823,80.01830717647059,8.014515,88.03282217647059
islands_3_9__10_16,3_16,2,110.73647552941178,102.44755317647059,5.503210000000001,102.44755317647059
islands_3_9__10_17,3_17,2,112.87818994117647,105.79851447058823,5.170065,105.79851447058823
islands_1_2__3_7__8_14,1_14,3,116.3977174117647,85.56517558823529,12.80805,98.37322558823529
islands_1_4__5_9__10_13,1_13,3,117.47667647058823,85.34130976470588,12.676300000000001,98.01760976470588
islands_1_2__3_7__8_13,1_13,3,118.49583605882354,87.25155641176471,11.908150000000001,99.15970641176472
islands_1_4__5_9__10_14,1_14,3,120.82101994117649,86.7610615882353,12.2155,98.9765615882353
islands_3_8__10_14,3_14,2,125.65951770588235,117.70567411764706,6.7425749999999995,117.70567411764706
islands_3_6__8_13,3_13,2,131.33609505882353,123.00994941176471,7.564120000000001,123.00994941176471
islands_3_9__10_12__13_14,3_14,3,133.42751129411764,123.92886929411765,6.83095,123.92886929411765
islands_3_6__8_14,3_14,2,133.53982005882355,124.57163982352941,6.85778,124.57163982352941
islands_3_7__8_13,3_13,2,134.15887270588235,123.27089917647059,6.232895,123.27089917647059
islands_3_8__10_13,3_13,2,135.86067852941176,125.50585970588236,7.451670000000002,125.50585970588236
islands_3_7__8_14,3_14,2,135.8923941764706,128.0556045882353,5.582660000000001,128.0556045882353
islands_3_4__5_7__8_14,3_14,3,137.00809652941177,125.75645758823529,11.008025,125.75645758823529
islands_3_9__10_12__13_13,3_13,3,137.970942,129.989618,7.41888,129.989618
islands_3_4__5_7__8_13,3_13,3,139.6068689411765,131.0233737647059,11.930800000000001,131.0233737647059
islands_1_4__5_10__13_14,1_14,3,111.17670347058822,79.69417329411765,11.1125,90.80667329411764
islands_1_4__5_8__10_13,1_13,3,113.86712511764705,82.77176505882353,13.4709,96.24266505882353
islands_1_3__5_7__8_13,1_13,3,115.54305652941177,84.36664805882353,15.28305,99.64969805882353
islands_1_4__5_11__13_13,1_13,3,115.93861582352942,84.1494455882353,11.86575,96.0151955882353
islands_1_4__5_10__13_13,1_13,3,116.10723864705881,85.26850076470588,12.06195,97.33045076470587
islands_1_3__5_12__13_14,1_14,3,116.84766723529411,82.88353511764706,12.7336,95.61713511764705
islands_1_4__5_6__8_14,1_14,3,116.9985493529412,84.85416105882354,12.87655,97.73071105882353
islands_1_4__5_11__13_14,1_14,3,118.13103064705881,83.2498441764706,10.0471,93.2969441764706
islands_1_4__5_8__10_14,1_14,3,118.37984605882353,84.11041488235294,13.5144,97.62481488235294
islands_1_3__5_7__8_14,1_14,3,118.92353982352941,86.73020723529413,14.564250000000001,101.29445723529413
islands_1_4__5_6__8_13,1_13,3,118.94063817647057,87.95867188235295,13.256450000000001,101.21512188235295
islands_1_3__5_12__13_13,1_13,3,122.3839632352941,88.06725347058823,14.14125,102.20850347058823
islands_1_3__5_9__10_14,1_14,3,123.11588935294115,88.8095208235294,13.45325,102.2627708235294
islands_1_4__5_5__8_13,1_13,3,124.42391652941176,87.81381994117646,15.7125,103.52631994117647
islands_3_9__10_15,3_15,2,124.51557447058825,115.75205976470588,5.784979999999999,115.75205976470588
islands_3_4__5_12__13_14,3_14,3,125.70614000000002,117.50983911764706,9.552885,117.50983911764706
islands_3_4__5_12__13_13,3_13,3,125.93928105882354,117.76231105882353,11.03645,117.76231105882353
islands_1_4__5_5__8_14,1_14,3,131.41516529411763,88.77250599999999,16.0447,104.817206
islands_3_5__8_14,3_14,2,131.71883535294117,122.89710782352941,8.146654999999999,122.89710782352941
islands_3_5__8_13,3_13,2,140.64969705882353,130.72828529411765,9.225255,130.72828529411765
islands_3_7__10_18,3_18,2,98.03585741176471,87.69894164705882,5.606730000000001,87.69894164705882
islands_3_7__10_19,3_19,2,101.27716211764705,90.041238,5.18958,90.041238
islands_3_6__10_18,3_18,2,101.81912641176471,91.59750352941177,6.887010000000001,91.59750352941177
islands_3_6__10_19,3_19,2,102.57966047058825,92.67201364705882,6.541594999999999,92.67201364705882
islands_3_7__10_14__15_19,3_19,3,108.98195394117649,98.7031204117647,6.416715000000001,98.7031204117647
islands_3_6__10_14__15_19,3_19,3,111.74643211764705,101.23820058823529,7.8386200000000015,101.23820058823529
islands_3_7__10_14__15_18,3_18,3,111.93783229411764,101.19651247058823,6.781829999999999,101.19651247058823
islands_3_6__10_14__15_18,3_18,3,113.87465517647058,102.0854478235294,8.284195,102.0854478235294
islands_3_9__13_16,3_16,2,121.54068476470586,107.43563276470589,5.010375,107.43563276470589
islands_3_9__13_17,3_17,2,122.01860547058821,107.58615294117646,4.637614999999999,107.58615294117646
islands_3_6__10_17,3_17,2,122.38639676470589,110.43439017647059,6.578465,110.43439017647059
islands_3_7__10_15,3_15,2,123.601926,111.26251864705883,5.89532,111.26251864705883
