access_kind,alu_opcode,alu_repeats,average_cpu_cores,bandwidth_GBps,batch,block_out,bucket,case_id,channels_in,channels_out,correct,device_wait_ms_per_repeat,direction,driver_poll_sleep_ns,driver_poll_wait_ms_per_repeat,driver_post_start_sleep_ns,driver_submit_ms_per_repeat,elements,eligible_for_direct_physical_model,family,get_ms,get_process_cpu_ms,host_submit_sync_ms_per_repeat,inner_repeats,input_count,input_fill,input_x,input_y,kernel,kernel_length,load_bytes_per_repeat,load_calls_per_repeat,load_enqueue_ms_per_repeat,logical_input_x,logical_input_y,measurement_kind,operation,output_bits,output_count,output_signature,output_x,output_y,pad_left,pad_top,pair_id,pair_role,poll_policy,process_cpu_ms,run_ms,run_process_cpu_ms,sample_index,session_id,set_ms,set_process_cpu_ms,size_bytes,spatial,stage_ms,store_bytes_per_repeat,store_calls_per_repeat,store_enqueue_ms_per_repeat,streams,stride,target_access_kind,threads,traffic_bytes,wall_ms,wall_ms_per_repeat,working_set_bytes,x,y
,,,1.9951843341832953,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.921249,0.930669,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.448114,11.182462,22.311073,2,1,0.205742,0.206372,,160,12.309453,,,,,2,,2,,,,,,
,,,1.9966886143647642,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.881859,0.891069,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.384303,11.179912,22.322803,3,1,0.169472,0.170431,,160,12.231243,,,,,2,,2,,,,,,
,,,1.946662321660563,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.866949,0.875588,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.876607,11.728407,22.831248,4,1,0.168812,0.169771,,160,12.764168,,,,,2,,2,,,,,,
,,,1.9909833687010805,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.877208,0.886268,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.332072,11.192872,22.284822,5,1,0.160232,0.160982,,160,12.230312,,,,,2,,2,,,,,,
,,,1.9952400838730635,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.838179,0.846699,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.334653,11.187382,22.321513,6,1,0.165811,0.166441,,160,12.191372,,,,,2,,2,,,,,,
,,,1.995400136260452,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.825368,0.834998,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.309874,11.178592,22.305764,7,1,0.168422,0.169112,,160,12.172382,,,,,2,,2,,,,,,
,,,1.9468079333525443,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.861369,0.869828,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.922448,11.757148,22.888909,8,1,0.162751,0.163711,,160,12.781268,,,,,2,,2,,,,,,
,,,1.9464772022242531,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.830648,0.839289,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.816757,11.720968,22.814597,9,1,0.162301,0.162871,,160,12.713917,,,,,2,,2,,,,,,
,,,1.992435491270292,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.822698,0.831578,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.307773,11.199802,22.314883,10,1,0.160411,0.161312,,160,12.182911,,,,,2,,2,,,,,,
,,,1.995346172949421,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.872888,0.881019,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.350283,11.178112,22.304203,11,1,0.164372,0.165061,,160,12.215372,,,,,2,,2,,,,,,
